"DocumentName"|"Venice Invoice No"|"AAX Customer ID"|"Bill document number"|"Service Country"|"Invoice Issue Date"|"Billing Period from"|"Billing Period to"|"Sales Partner ID"|"Payment Reference"|"Total Net"|"Total Gross"|"Currency"
"I21009473.pdf"|"BE21_209472"|"1019169"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|11,70|14,16|"EUR"
"I21009682.pdf"|"BE21_209681"|"1030173"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|792,84|959,34|"EUR"
"I21009702.pdf"|"BE21_209701"|"1031803"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|23,40|28,31|"EUR"
"I21009773.pdf"|"BE21_209772"|"1035492"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|374,40|453,02|"EUR"
"I21009777.pdf"|"BE21_209776"|"1035674"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|228,18|276,10|"EUR"
"I21009780.pdf"|"BE21_209779"|"1035821"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|11,70|14,16|"EUR"
"I21009792.pdf"|"BE21_209791"|"1037915"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|58,56|70,86|"EUR"
"I21009796.pdf"|"BE21_209795"|"1038471"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|11,70|14,16|"EUR"
"I21009798.pdf"|"BE21_209797"|"1039218"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|11,70|14,16|"EUR"
"I21009801.pdf"|"BE21_209800"|"1039335"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|11,70|14,16|"EUR"
"I21009803.pdf"|"BE21_209802"|"1039456"|"313447368"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000003572"|"313447368BE"|35,10|42,47|"EUR"
